company;status;longitude;latitude
Charter Communications;Hiring;-116.158079;35.286314
Chase;Freeze;-95.919888;36.128689
Cheesecake Factory;Freeze;-122.460779;37.85856
CheetahDigital;Freeze;-102.27264;37.891661
Chick-Fil-A;Freeze;-95.205924;36.680122
Children’s hospital;Hiring;-73.975914;40.714671
Childrens Hospital Colorado;Freeze;-104.922413;39.779819
Christ United Methodist preschool ;Hiring;-87.577043;40.962377
Christie's;Freeze;-92.214672;37.367267
Christie’s ;Hiring;-92.214672;37.367267
Chromalloy;Freeze;-97.732733;31.155797
chs;Hiring;-97.797128;37.106047
Ciena;Freeze;-78.61573;40.833492
Cigna;Freeze;-95.034747;37.500252
Cinemark;Freeze;-95.272334;37.543569
Cintas;Freeze;-95.898518;37.608734
Cirque du Soleil ;Freeze;-73.228162;41.257845
Citi;Freeze;-86.76933;36.199028
Citizens Bank;Hiring;-84.884754;41.540692
City National Bank;Hiring;-111.783004;33.403019
Clarks;Freeze;-96.360157;34.08092
CLEAR;Hiring;-96.698135;33.713484
Cleveland Clinic;Hiring;-100.71644;38.377217
Clif Bar;Hiring;-104.992175;39.790597
Clutter;Freeze;-82.502592;28.090201
CNA Insurance;Hiring;-92.214979;37.335907
CNH Industrial;Freeze;-87.205458;41.361834
Coalfire;Hiring;-96.390779;40.922864
Coca Cola;Freeze;-83.713274;43.286395
Collabera;Hiring;-92.227252;38.972473
Collins Aerospace;Freeze;-94.531317;37.512168
Colorado Springs Utilities;Hiring;-104.811064;38.846661
Columbia;Hiring;-97.92979;38.915958
Comcast;Freeze;-96.051196;40.257729
Compass;Freeze;-118.449903;33.991443
Complex;Freeze;-95.788147;36.985231
Computer Enterprises Inc;Freeze;-74.105338;40.732776
ConAgra;Hiring;-76.956564;38.791431
Concora;Freeze;-79.252979;37.866047
Conduent;Freeze;-79.861608;35.498083
CONMED;Freeze;-98.250451;35.410677
connectiverx;Hiring;-85.24598;39.546928
Construction company;Hiring;-95.667728;37.036451
consulting;Freeze;-95.779421;37.076273
Consulting & Services;Hiring;-95.070343;36.210304
Consumer Services;Hiring;-84.499994;42.669999
Container Store ;Freeze;-96.09369;36.002158
Continental ;Hiring;-83.070516;42.80857
Continuum;Freeze;-94.658552;39.04854
Converse;Freeze;-73.91673;40.717703
Convivio;Hiring;-82.580776;37.97541
Core-Mark;Freeze;-101.973365;32.38174
Corelogic;Hiring;-92.967272;35.658267
CorePower ;Freeze;-95.681893;35.926386
Costco;Hiring;-95.947255;37.460655
Coty;Freeze;-72.563588;41.726741
Country Financial;Hiring;-95.860277;36.080706
Covance ;Freeze;-88.017008;39.673735
Cover;Hiring;-118.30213;33.979047
Cox communications ;Hiring;-95.682957;36.607729
Coyote Logistics;Hiring;-88.787601;38.519714
Cracker Barrel;Freeze;-95.919909;36.175459
Crane Worldwide Logistics;Hiring;-96.358039;37.405854
Crawford & Company;Freeze;-89.450749;38.013663
Crayola;Freeze;-95.037133;38.94199
Creek;Hiring;-97.365553;37.660614
Cricut;Freeze;-98.446013;29.325916
Crocs;Freeze;-71.276676;42.432643
CSA;Freeze;-86.869892;36.177164
CSL Plasma;Hiring;-96.619653;36.920079
CTEH;Hiring;-92.630472;32.16563
Cumming Corporation;Freeze;-92.954023;37.941255
Cummins ;Freeze;-94.954762;36.610853
Current;Hiring;-97.499578;37.990261
Cushman & Wakefield;Freeze;-95.735751;35.933269
Custom Ink;Freeze;-83.358082;42.72557
CVS;Hiring;-83.858118;34.245253
Daily Harvest;Hiring;-79.290817;42.238728
data;Freeze;-77.477031;37.615341
Davey Resource Group;Hiring;-83.809638;37.646371
David's Bridal;Freeze;-112.100315;33.549473
DaVita Kidney Care;Freeze;-73.993563;40.89741
DE shaw;Hiring;-84.665774;33.941699
Dean foods ;Hiring;-95.482676;36.7997
Deloitte;Freeze;-83.774333;41.347967
Deloitte Canada;Freeze;-100.862565;46.29276
Dematic;Freeze;-90.991426;37.328062
Department of Education;Hiring;-88.136837;42.329443
Design;Hiring;-101.146323;25.62434
Diageo;Hiring;-73.846965;40.89604
Dick's Sporting Goods;Freeze;-95.886985;36.059785
Dicks Sporting Goods;Freeze;-85.17077;41.09559
digidom;Hiring;-43.365177;39.803484
Dillard's;Freeze;-95.906902;36.389722
Dior;Hiring;-83.120253;42.448374
disco;Freeze;-92.519354;39.024148
Dish ;Freeze;-96.904408;33.079794
Dodo Pizza;Hiring;-89.690913;34.734345
Dolce & Gabbana;Freeze;-84.361154;33.849548
Dollar general ;Hiring;-93.913402;36.869651
Dollar Tree;Freeze;-95.787187;36.967407
Domain Group;Hiring;-74.98143;40.372968
Domio;Freeze;-78.910812;39.26634
Dos Toros;Freeze;-87.633208;41.882203
DOW Chemical;Freeze;-73.232431;41.212688
DPR construction;Hiring;-82.667485;33.632016
Dragos;Hiring;-90.112043;31.173398
DRINKS;Hiring;-95.674321;37.128893
DriveTime;Freeze;-96.157175;37.14333
Drizly;Hiring;-74.025543;40.731775
DRW;Hiring;-87.676062;41.875704
DSW;Freeze;-74.14702;40.619687
DTCC;Hiring;-86.278432;35.839306
Dylan's Candy Bar;Freeze;-92.334202;35.941136
Dynetics;Hiring;-86.670782;34.727687
EAB;Freeze;-73.787109;40.70615
Eaton;Freeze;-87.608882;39.870165
