amount;number;location1;location2;location3
967;28;France;Auvergne-Rhone-Alpes;Lyon
1710;32;Auvergne-Rhône-Alpes;Courpière;France
1275;36;Fort-de-France;Martinique
295;13;Cannes;Provence-Alpes-Côte d'Azur;France
82976;3499;Toulouse;Occitanie;France
2310;59
100;2;Dijon;Bourgogne-Franche-Comte;France
945;24
1920;49;France
120;4;France;Auvergne-Rhone-Alpes;Lyon
15;1;France;La Ferté-Bernard;Pays de la Loire
5;1
400;4;France;Île-de-France;Paris
75;3;Herblay;Île-de-France;France
20470;376
90;2;France;Bornel;Hauts-de-France
160;3;Lombez;Occitanie;France
5130;209;Le Havre;Normandy;France
500;5
630;17;Épinay-sur-Seine;Île-de-France;France
40;1
20;2
3410;73;France;Île-de-France;Paris
1920;60;France;Bretagne;Dinan
1645;60
372;9;Puybrun;Occitanie;France
9397;178;Montfermeil;Île-de-France;France
445;12
10;1;Avignon;Provence-Alpes-Côte d'Azur;France
250;9;France;Île-de-France;Paris
1665;48;Metz;Grand Est;France
981;64;France;Île-de-France;Paris
20;1;France;Île-de-France;Paris
9200;97;Chastre;Wallonie;Belgique
40;1;France;La Bassee;Hauts-de-France
255;14;Toulouse;Occitanie;France
140;2;France;Île-de-France;Paris
1510;22;Arlon;Wallonie;Belgique
325;16;France;Île-de-France;Paris
3785;116;France;Île-de-France;Paris
285;6;Beauregard;Occitanie;France
715;9;Occitanie;France
8406;128
220;5;France
200;9;France;Île-de-France;Paris
485;21
1785;59;Centre;Cameroon
111;13;Île-de-France;France
1295;19;France;Île-de-France;Paris
27;7;Île-de-France;Saint-Ouen;France
70;4;Nouvelle-Aquitaine;Pau;France
40;1;France;Le Mans;Pays de la Loire
230;11;France;Île-de-France;Paris
800;8;France;Île-de-France;Paris
1170;34;Centre-Val de Loire;Chartres;France
160;7;France;Normandy;Eu
400;19;France;Île-de-France;Mantes-la-Jolie
1730;18
15366;370;Annemasse;Auvergne-Rhone-Alpes;France
1165;25;Neuchâtel;Suisse
440;6;Saint-Denis;Réunion
2701;63
1533;22
570;6;Île-de-France;L'Haÿ-les-Roses;France
10;1;Hauts-de-France;Lille;France
261;16;France;Challans;Pays de la Loire
155;4;France;Île-de-France;Paris
618;14;Châlons-en-Champagne;Grand Est;France
20;1;France
70;4;Malville;France;Pays de la Loire
12875;400;Auvergne-Rhône-Alpes;Arbent;France
190;5;France
3134;71;France;Centre-Val de Loire;Bourges
41;3;France;Île-de-France;Paris
6465;86
3650;82;France;Mulhouse;Grand Est
20;1;Wallonia;Belgium;Huy
808;36;France;Île-de-France;Paris
534;22
2055;39;Dakar;Senegal
350;9;Bezons;Île-de-France;France
765;16;Oyonnax;Auvergne-Rhone-Alpes;France
60;5;Strasbourg;Grand Est;France
30;3
960;23
320;9;Cormeilles-en-Parisis;Île-de-France;France
1525;42
790;33
100;3;Provence-Alpes-Côte d'Azur;La Seyne-sur-Mer;France
1280;20;Dakar;Senegal
2205;144;Villeneuve-lès-Avignon;Occitanie;France
1;1;Clamart;Île-de-France;France
1120;26;France;Auvergne-Rhone-Alpes;Lyon
950;26;Pecq;Wallonie;Belgique
3395;56
15;1
330;16
80;3;Colombie
795;39;Nouvelle-Aquitaine;Bordeaux;France
3;1
140;11;France;Île-de-France;Paris
40;1
175;9;Auvergne-Rhône-Alpes;France;Lyon
300;9;France;Île-de-France;Paris
683;21;Port-au-Prince;Haïti;Ouest
540;13
53;3;France
1235;39;France;Île-de-France;Paris
1;1
2;1
6638;154;Reims;Grand Est;France
60;4;Normandy;Brionne;France
1285;39
40;1;Vitry-le-François;Grand Est;France
2700;33
30;1;Occitanie;Castelsarrasin;France
90;5;France;Île-de-France;Paris
1260;20;France;Île-de-France;Paris
395;6;Centre-Val de Loire;Tours;France
50;5
1225;39;La Chapelle-Saint-Martin-en-Plaine;Centre-Val de Loire;France
2535;40;Auvergne-Rhône-Alpes;Thonon-les-Bains;France
90;5
500;11
380;25;France;Île-de-France;Ormesson-sur-Marne
1820;5;Vernon;Normandy;France
30;1;France
260;9;Cahors;Occitanie;France
20;3;Herblay;Île-de-France;France
465;16
3692;114;Eaubonne;Île-de-France;France
1292;95;France;Île-de-France;Paris
485;12;Pertuis;Provence-Alpes-Côte d'Azur;France
330;7;Occitanie;Martel;France
100;4;Togo;Ahépé;Région maritime
30;2;Autun;Bourgogne-Franche-Comté;France
1000;20;Troyes;Grand Est;France
750;17
1539;34
100;1;Reims;Grand Est;France
570;21;Hauts-de-France;Le Quesnoy;France
695;18;Brittany;Rennes;France
345;7;Lens;Hauts-de-France;France
108;6;Auvergne-Rhône-Alpes;France;Lyon
1;1;Bonneville;Auvergne-Rhone-Alpes;France
1440;18;France;Occitanie;Samatan
260;5;Annecy;Auvergne-Rhône-Alpes;France
1740;31;Verdun;Grand Est;France
